dataset,metafolds,experiments,cutoff,seed,stage,component,value
cifar10,3,2000,15,1585120,preprocessing,f_eng2,none
cifar10,3,2000,15,1585120,prediction,scaling,True
cifar10,3,2000,15,1585120,prediction,algorithm,LogisticRegression
cifar10,3,2000,15,1585121,preprocessing,pre_scaling,False
cifar10,3,2000,15,1585121,preprocessing,f_eng1,none
cifar10,3,2000,15,1585121,preprocessing,f_eng2,none
cifar10,3,2000,15,1585121,prediction,scaling,False
cifar10,3,2000,15,1585121,prediction,algorithm,LogisticRegression
cifar10,3,2000,15,1585122,preprocessing,pre_scaling,False
cifar10,3,2000,15,1585122,preprocessing,f_eng1,none
cifar10,3,2000,15,1585122,preprocessing,f_eng2,none
cifar10,3,2000,15,1585122,prediction,scaling,True
cifar10,3,2000,15,1585122,prediction,algorithm,LogisticRegression
cifar10,3,2000,30,1540446,preprocessing,pre_scaling,False
cifar10,3,2000,30,1540446,preprocessing,f_eng1,Selection
cifar10,3,2000,30,1540446,preprocessing,f_eng2,None
cifar10,3,2000,30,1540446,prediction,scaling,False
cifar10,3,2000,30,1540446,prediction,algorithm,RandomForest
cifar10,3,2000,30,1540447,preprocessing,pre_scaling,True
cifar10,3,2000,30,1540447,preprocessing,f_eng1,None
cifar10,3,2000,30,1540447,preprocessing,f_eng2,Selection
cifar10,3,2000,30,1540447,prediction,scaling,False
cifar10,3,2000,30,1540447,prediction,algorithm,LogisticRegression
cifar10,3,2000,30,1540448,preprocessing,pre_scaling,False
cifar10,3,2000,30,1540448,preprocessing,f_eng1,None
cifar10,3,2000,30,1540448,preprocessing,f_eng2,None
cifar10,3,2000,30,1540448,prediction,scaling,False
cifar10,3,2000,30,1540448,prediction,algorithm,RandomForest
cifar10,3,2000,30,1540449,preprocessing,pre_scaling,False
cifar10,3,2000,30,1540449,preprocessing,f_eng1,None
cifar10,3,2000,30,1540449,preprocessing,f_eng2,Extraction
cifar10,3,2000,30,1540449,prediction,scaling,True
cifar10,3,2000,30,1540449,prediction,algorithm,MLP
cifar10,3,2000,30,1540450,preprocessing,pre_scaling,True
cifar10,3,2000,30,1540450,preprocessing,f_eng1,Extraction
cifar10,3,2000,30,1540450,preprocessing,f_eng2,None
cifar10,3,2000,30,1540450,prediction,scaling,False
cifar10,3,2000,30,1540450,prediction,algorithm,LogisticRegression
cifar10,3,2000,30,1585128,preprocessing,pre_scaling,False
cifar10,3,2000,30,1585128,preprocessing,f_eng1,Extraction
cifar10,3,2000,30,1585128,preprocessing,f_eng2,Selection
cifar10,3,2000,30,1585128,prediction,scaling,True
cifar10,3,2000,30,1585128,prediction,algorithm,LogisticRegression
