,16,2,1,4,3,10,9,5,17,13,15,12,8,7,6,11,14
2013-06-29,5.0,36.0,5.0,10.0,4.0,14.0,7.0,22.0,8.0,4.0,9.0,15.0,9.0,20.0,7.0,12.0,6.0
2013-06-30,2.0,13.0,9.0,9.0,6.0,6.0,8.0,16.0,9.0,7.0,7.0,26.0,16.0,14.0,13.0,13.0,6.0
2013-07-01,5.0,7.0,19.0,7.0,3.0,9.0,12.0,15.0,6.0,8.0,2.0,22.0,14.0,6.0,5.0,7.0,6.0
2013-07-02,3.0,17.0,16.0,10.0,7.0,5.0,4.0,27.0,4.0,5.0,2.0,21.0,11.0,15.0,8.0,9.0,1.0
2013-07-03,9.0,14.0,10.0,9.0,0.0,10.0,13.0,14.0,7.0,3.0,7.0,16.0,14.0,10.0,4.0,11.0,8.0
2013-07-04,6.0,14.0,4.0,5.0,1.0,11.0,5.0,20.0,4.0,2.0,7.0,15.0,9.0,12.0,6.0,9.0,2.0
2013-07-05,4.0,22.0,11.0,11.0,3.0,11.0,12.0,27.0,4.0,4.0,15.0,11.0,13.0,19.0,6.0,6.0,2.0
2013-07-06,4.0,16.0,9.0,11.0,7.0,12.0,4.0,31.0,6.0,6.0,4.0,23.0,18.0,16.0,8.0,6.0,6.0
2013-07-07,3.0,14.0,4.0,6.0,2.0,9.0,12.0,27.0,15.0,6.0,11.0,14.0,14.0,29.0,3.0,12.0,12.0
2013-07-08,6.0,17.0,14.0,7.0,4.0,9.0,10.0,17.0,8.0,7.0,12.0,14.0,11.0,14.0,5.0,8.0,7.0
2013-07-09,3.0,9.0,4.0,6.0,3.0,7.0,7.0,25.0,3.0,4.0,9.0,11.0,9.0,15.0,5.0,8.0,4.0
2013-07-10,2.0,12.0,8.0,5.0,9.0,9.0,5.0,18.0,9.0,9.0,3.0,10.0,19.0,12.0,7.0,9.0,5.0
2013-07-11,7.0,12.0,13.0,4.0,1.0,12.0,5.0,17.0,9.0,7.0,10.0,14.0,8.0,12.0,5.0,7.0,3.0
2013-07-12,2.0,14.0,11.0,8.0,3.0,15.0,5.0,28.0,12.0,4.0,13.0,17.0,8.0,5.0,5.0,6.0,4.0
2013-07-13,3.0,15.0,9.0,7.0,5.0,16.0,19.0,29.0,6.0,9.0,18.0,24.0,17.0,22.0,15.0,9.0,3.0
2013-07-14,8.0,20.0,6.0,8.0,5.0,17.0,9.0,15.0,11.0,6.0,17.0,19.0,21.0,17.0,8.0,7.0,9.0
2013-07-15,5.0,12.0,8.0,8.0,4.0,13.0,6.0,23.0,15.0,5.0,9.0,13.0,7.0,17.0,6.0,2.0,2.0
2013-07-16,4.0,5.0,13.0,7.0,7.0,4.0,7.0,18.0,2.0,6.0,11.0,16.0,6.0,11.0,11.0,8.0,1.0
2013-07-17,5.0,16.0,12.0,10.0,3.0,11.0,7.0,13.0,5.0,5.0,13.0,5.0,13.0,15.0,4.0,8.0,3.0
2013-07-18,4.0,11.0,11.0,9.0,6.0,9.0,6.0,31.0,3.0,3.0,3.0,16.0,15.0,18.0,3.0,5.0,2.0
2013-07-19,2.0,17.0,23.0,15.0,2.0,13.0,6.0,31.0,3.0,10.0,11.0,21.0,18.0,23.0,2.0,11.0,3.0
2013-07-20,8.0,16.0,9.0,10.0,7.0,9.0,9.0,17.0,10.0,10.0,10.0,18.0,11.0,12.0,3.0,13.0,5.0
