fold,config_id,result
3,25,0.795314766841528
13,25,0.7730485870045648
9,26,0.09898821737897803
16,26,0.10172975900784104
6,26,0.1042948180223211
9,27,0.8538771089634029
16,27,0.8441741317817422
6,27,0.8683728060475084
9,28,0.10065438383809404
16,28,0.0980541583914986
6,28,0.10197714464424504
9,29,0.9002659835950368
16,29,0.8926215953655505
6,29,0.9130124078920964
9,30,0.10198505464821968
16,30,0.09803995966510856
6,30,0.10100756996464948
9,31,0.3931374522584948
16,31,0.4278978740202544
6,31,0.3832301276306134
9,32,0.5354426377301784
16,32,0.4722648014360472
6,32,0.5062531186405228
11,26,0.10241875200256856
3,26,0.10426965054317734
13,26,0.10141762976787703
11,27,0.8719079509720746
3,27,0.8730792035172886
13,27,0.8456685389327031
11,28,0.09674845283245104
3,28,0.1019449663468202
13,28,0.10208198514368698
11,29,0.91087644103058
3,29,0.9116873424615424
13,29,0.892960637791588
11,30,0.10038542393631038
3,30,0.10259844860796913
13,30,0.10173771014744427
11,31,0.2964394729569543
3,31,0.4400516708622857
13,31,0.3857255919436752
11,32,0.4970293408774921
3,32,0.4788470765338585
13,32,0.5067322803514103
10,26,0.09929445856104474
18,26,0.1001449988684692
0,26,0.09142853084748384
10,27,0.8417189758907547
18,27,0.8845479797840643
0,27,0.8659462118309683
10,28,0.10101103447732858
18,28,0.09813270023885584
0,28,0.09911438003123532
10,29,0.8996721337094359
18,29,0.9102305598972056
0,29,0.9086306767589474
10,30,0.10705855975183856
18,30,0.10046332334533488
0,30,0.10178356024914273
10,31,0.3455685214534032
18,31,0.4239972189422208
0,31,0.4333598116535197
10,32,0.4556716822700772
18,32,0.5889012680994377
0,32,0.5425197723714872
5,26,0.10560016825082287
4,26,0.09760925228858676
5,27,0.8579806054230585
4,27,0.8480949903191396
5,28,0.10062987122111992
4,28,0.09858781934750928
5,29,0.8980348498938845
4,29,0.8927627795646493
5,30,0.10164149626422124
4,30,0.09627764300825574
5,31,0.3194418155528865
4,31,0.2996557817676587
5,32,0.4703745684495326
4,32,0.4243338440539003
2,26,0.10192154581079046
2,27,0.8601005738920521
2,28,0.10055099154160016
2,29,0.8916960555296175
2,30,0.1095706559816639
2,31,0.35842754665795484
2,32,0.5166660032675287
7,28,0.09494574682350533
7,2,0.10324893782576697
3,33,0.8633337248215133
16,33,0.8363015308400492
7,33,0.8545582533210748
3,34,0.09826605080425924
16,34,0.101739880686152
7,34,0.09995924755252246
3,35,0.10226002890586586
16,35,0.09705632900477837
7,35,0.10062093909481096
3,36,0.901385876007345
16,36,0.8845413027655822
7,36,0.8850131886473231
3,37,0.11225825735405716
16,37,0.11240807605954126
7,37,0.11229591769153877
3,38,0.09792598421678596
16,38,0.09736633097258693
7,38,0.10026833747183192
3,39,0.3735809075072714
16,39,0.4148883261132792
7,39,0.3842973139044846
3,40,0.9054004112783618
16,40,0.8812134489663593
7,40,0.8977326884746974
14,28,0.0987330660094878
2,33,0.8616415648999959
10,33,0.8165250868863627
14,33,0.8498131575408292
2,34,0.09988268834488476
10,34,0.09698976500444076
14,34,0.0997674647513754
2,35,0.09991036012846384
10,35,0.10198994310353644
